title,id
Major Payne,11008
Little Odessa,47504
Mi Vida Loca,32325
Love Affair,43742
Losing Isaiah,28313
The Madness of King George,11318
Mary Shelley's Frankenstein,3036
Man of the House,40490
Mixed Nuts,24070
Milk Money,8986
Miracle on 34th Street,10510
Miami Rhapsody,17402
My Family,38722
Murder in the First,8438
Nobody's Fool,11593
Nell,1945
New Jersey Drive,39310
New York Cop,109560
Beyond Bedlam,56428
Nemesis 2 - Nebula,63105
Nina Takes a Lover,131957
Natural Born Killers,241
Only You,9058
Once Were Warriors,527
Poison Ivy II: Lily,18220
Outbreak,6950
Leon: The Professional,101
The Perez Family,63020
A Pyromaniac's Love Story,2307
Pulp Fiction,680
Panther,41478
Pushing Hands,25296
Priest,40156
Quiz Show,11450
Picture Bride,30304
Queen Margot,10452
The Quick and the Dead,12106
Roommates,161495
Prêt-à-Porter,3586
Three Colors: Red,110
Three Colors: Blue,108
Three Colors: White,109
"Red Firecracker, Green Firecracker",159185
Rent-a-Kid,36357
Relative Fear,92769
Stuart Saves His Family,28033
The Swan Princess,22586
The Secret of Roan Inish,14334
The Specialist,2636
Stargate,2164
The Santa Clause,11395
The Shawshank Redemption,278
Shallow Grave,9905
Suture,87078
Strawberry and Chocolate,12527
Swimming with Sharks,20306
The Sum of Us,36614
Senior Trip,27993
To Live,31439
Tank Girl,9067
Tales from the Crypt: Demon Knight,9059
Star Trek: Generations,193
Tales from the Hood,25066
Tom & Viv,46797
Village of the Damned,12122
Tommy Boy,11381
Vanya on 42nd Street,32636
The Underneath,36141
The Walking Dead,95963
What's Eating Gilbert Grape,1587
Virtuosity,9271
While You Were Sleeping,2064
The War,19855
Double Happiness,60855
Muriel's Wedding,236
The Baby-Sitters Club,48287
Ace Ventura: Pet Detective,3049
"The Adventures of Priscilla, Queen of the Desert",2759
Backbeat,12635
Bitter Moon,10497
Bullets Over Broadway,11382
Clear and Present Danger,9331
The Client,10731
"Corrina, Corrina",10464
Crooklyn,34152
The Crow,9495
Cobb,29973
The Flintstones,888
Forrest Gump,13
Four Weddings and a Funeral,712
Higher Learning,16295
I Like It Like That,48992
I Love Trouble,10879
It Could Happen to You,10660
The Jungle Book,10714
"The Wonderful, Horrible Life of Leni Riefenstahl",41647
The Lion King,8587
Little Buddha,1689
New Nightmare,11596
The Mask,854
Maverick,9359
Mrs. Parker and the Vicious Circle,23333
The Naked Gun 33⅓: The Final Insult,36593
The Paper,12280
Reality Bites,2788
Red Rock West,10427
Ri¢hie Ri¢h,11011
Safe Passage,49803
The River Wild,8987
Speed,1637
Speechless,15128
Timecop,8831
True Lies,36955
When a Man Loves a Woman,10449
Wolf,10395
Wyatt Earp,12160
Bad Company,40480
A Man of No Importance,52038
S.F.W.,29444
A Low Down Dirty Shame,26352
"Boys Life: Three Stories of Love, Lust, and Liberation",39953
Colonel Chabert,41580
"Faster, Pussycat! Kill! Kill!",315
Jason's Lyric,22067
The Secret Adventures of Tom Thumb,18242
Street Fighter,11667
Coldblooded,32502
Desert Winds,267188
Fall Time,28732
The Fear,75555
Frank and Ollie,42981
Girl in the Cadillac,278939
Homage,291731
Mirage,226229
Open Season,203119
Dos Crímenes,172923
Brother Minister: The Assassination of Malcolm X,316098
Highlander: The Final Dimension,8011
Federal Hill,171857
In the Mouth of Madness,2654
8 Seconds,18069
Above the Rim,19092
Addams Family Values,2758
Martin Lawrence: You So Crazy,38129
The Age of Innocence,10436
Airheads,13595
The Air Up There,46094
Another Stakeout,9409
Bad Girls,11853
Barcelona,16771
Being Human,46924
The Beverly Hillbillies,11041
Beverly Hills Cop III,306
Black Beauty,14522
Blink,26203
Blown Away,178
Blue Chips,19819
Blue Sky,57834
Body Snatchers,4722
Boxing Helena,18215
A Bronx Tale,1607
Cabin Boy,26391
Calendar Girl,117553
Carlito's Way,6075
City Slickers II: The Legend of Curly's Gold,11310
Clean Slate,18658
Cliffhanger,9350
Coneheads,9612
Color of Night,2124
Cops & Robbersons,26261
The Cowboy Way,19176
Dangerous Game,49299
Dave,11566
Dazed and Confused,9571
Demolition Man,9739
The Endless Summer 2,24257
Even Cowgirls Get the Blues,34444
Fatal Instinct,26141
Farewell My Concubine,10997
The Favor,50463
Fearless,10443
Fear of a Black Hat,20239
With Honors,16297
Flesh and Bone,18551
Widows' Peak,25440
For Love or Money,9024
The Firm,37233
Free Willy,1634
Fresh,13815
The Fugitive,5503
Geronimo: An American Legend,35588
The Getaway,2087
Getting Even with Dad,41579
Go Fish,18620
A Good Man in Africa,41006
Guilty as Sin,4916
Hard Target,2019
Heaven & Earth,31642
Hot Shots! Part Deux,9255
Live Nude Girls,26271
The Englishman Who Went Up a Hill But Came Down a Mountain,10612
The House of the Spirits,2259
House Party 3,16097
The Hudsucker Proxy,11934
I'll Do Anything,106143
In the Army Now,12475
In the Line of Fire,9386
In the Name of the Father,7984
The Inkwell,59930
What's Love Got to Do with It,15765
Jimmy Hollywood,31643
Judgment Night,6
Jurassic Park,329
Kalifornia,10909
Killing Zoe,507
King of the Hill,34024
Lassie,29918
Last Action Hero,9593
Life With Mikey,42580
Lightning Jack,22317
M. Butterfly,1413
Made in America,12121
Malice,2246
The Man without a Face,10502
Manhattan Murder Mystery,10440
Menace II Society,9516
Executive Decision,2320
In the Realm of the Senses,5879
What Happened Was...,83718
Much Ado About Nothing,11971
Mr. Jones,2625
Mr. Wonderful,31911
Mrs. Doubtfire,788
Naked,21450
The Next Karate Kid,11231
The New Age,41588
No Escape,10447
North,31586
Orlando,9300
A Perfect World,9559
Philadelphia,9800
The Piano,713
Poetic Justice,8291
The Program,18133
The Puppet Masters,25557
Radioland Murders,22588
The Ref,10872
The Remains of the Day,1245
Renaissance Man,11858
Rising Sun,7007
The Road to Wellville,10467
RoboCop 3,5550
Robin Hood: Men in Tights,8005
Romeo Is Bleeding,2088
Romper Stomper,10412
Ruby in Paradise,47889
Rudy,14534
The Saint of Fort Washington,56583
Savage Nights,41878
Schindler's List,424
The Scout,35233
Searching for Bobby Fischer,14291
Second Best,103413
The Secret Garden,11236
Serial Mom,11592
The Shadow,8850
Shadowlands,10445
Short Cuts,695
A Simple Twist of Fate,43535
Sirens,12519
Six Degrees of Separation,23210
Sleepless in Seattle,858
Sliver,867
Blade Runner,78
Son in Law,13203
So I Married an Axe Murderer,10442
Striking Distance,11074
Harem,33367
Super Mario Bros.,9607
Surviving the Game,17585
Terminal Velocity,9057
Thirty Two Short Films About Glenn Gould,20967
Threesome,10635
The Nightmare Before Christmas,9479
The Three Musketeers,10057
Tombstone,11969
Trial by Jury,41590
True Romance,319
The War Room,26408
The Pagemaster,15139
"Paris, France",161158
"The Beans of Egypt, Maine",218473
Killer,85247
Welcome to the Dollhouse,11446
Germinal,51980
Chasers,24405
Cronos,11655
Naked in New York,11800
Kika,8223
Bhaji on the Beach,14587
Little Big League,31504
The Slingshot,41653
Wide Eyed and Legless,53185
Foreign Student,95743
"Ciao, Professore!",23637
Spanking the Monkey,17600
The Little Rascals,10897
À la mode,349394
Andre,21352
The Escort,68806
Princess Caraboo,37345
The Celluloid Closet,32562
Café au Lait,47507
Dear Diary,25403
I Don't Want to Talk About It,124304
The Brady Bunch Movie,9066
Home Alone,771
Ghost,251
Aladdin,812
Terminator 2: Judgment Day,280
Dances with Wolves,581
Tough and Deadly,80350
Batman,268
The Silence of the Lambs,274
Snow White and the Seven Dwarfs,408
Beauty and the Beast,10020
Pinocchio,10895
Pretty Woman,114
Window to Paris,41043
The Wild Bunch,576
Love and a .45,15477
The Wooden Man's Bride,59146
A Great Day in Harlem,124472
Bye Bye Love,30528
One Fine Day,7300
Candyman: Farewell to the Flesh,10824
Century,261246
Fargo,275
Homeward Bound II: Lost in San Francisco,25059
Heavy Metal,11827
Hellraiser: Bloodline,8766
The Pallbearer,23570
Jane Eyre,47333
Loaded,54850
Bread and Chocolate,51242
The Aristocats,10112
The Flower of My Secret,4307
Two Much,46029
Ed,32308
Scream of Stone,88893
My Favorite Season,52873
A Modern Affair,123505
Condition Red,340210
Halfaouine: Boy of the Terraces,44281
A Thin Line Between Love and Hate,28121
The Last Supper,12520
Primal Fear,1592
Rude,166901
Carried Away,36447
All Dogs Go to Heaven 2,19042
Land and Freedom,38884
Denise Calls Up,47449
Theodore Rex,36259
A Family Thing,41852
Frisk,40926
Sgt. Bilko,9099
Jack & Sarah,2021
Girl 6,61752
Diabolique,10988
"Little Indian, Big City",11479
Roula,398959
Peanuts – Die Bank zahlt alles,287305
Happy Weekend,339428
Nelly and Monsieur Arnaud,12652
Courage Under Fire,10684
Mission: Impossible,954
Cold Fever,68445
Moll Flanders,18989
The Superwife,10801
"301, 302",54285
DragonHeart,8840
Und keiner weint mir nach,278978
My Mother's Courage,124625
Eddie,11107
Yankee Zulu,16417
Billy's Holiday,70934
Purple Noon,10363
August,161070
James and the Giant Peach,10539
Fear,10543
Kids in the Hall: Brain Candy,18414
Faithful,47502
Underground,11902
All Things Fair,27098
Bloodsport II,25087
Pather Panchali,5801
The World of Apu,896
Mystery Science Theater 3000: The Movie,3065
Tarantella,318177
Space Jam,2300
Barbarella,8069
Hostile Intentions,288173
They Bite,187851
Some Folks Call It a Sling Blade,27768
The Run of the Country,221917
Alphaville,8072
Coup de Torchon,35797
Tigrero: A Film That Was Never Made,88030
The Eye of Vichy,185191
Windows,83857
It's My Party,33245
Country Life,124460
Operation Dumbo Drop,27281
The Promise,105045
Mrs. Winterbourne,40001
Solo,29621
Under The Domim Tree,117730
The Substitute,20762
True Crime,37144
Butterfly Kiss,48260
Feeling Minnesota,12656
Delta of Venus,38867
To Cross the Rubicon,277270
Angus,25969
Priest Daens,44103
Faces,753
Boys,43634
The Quest,9103
Cosi,90214
Sunset Park,29649
Mulholland Falls,10990
The Truth About Cats & Dogs,8866
Oliver & Company,12233
Celtic Pride,23449
Flipper,36355
Captives,37667
Of Love and Shadows,90148
Dead Man,922
The Horseman on the Roof,11876
Switchblade Sisters,52633
Mouth to Mouth,62364
The Visitors,11687
Multiplicity,9304
"The Haunted World of Edward D. Wood, Jr.",73183
Two Friends,131232
The Craft,9100
The Great White Hype,20759
Last Dance,46063
War Stories Our Mother Never Told Us,365371
Cold Comfort Farm,32513
"Institute Benjamenta, or This Dream People Call Human Life",40651
Heaven's Prisoners,36915
Original Gangstas,40507
The Rock,9802
Getting Away with Murder,25697
Cemetery Man,21588
Twister,664
Barb Wire,11867
Le Garçu,47119
Honeymoon,314352
Ghost in the Shell,9323
Thinner,10280
Spy Hard,10535
Brothers in Trouble,124613
A Close Shave,532
Force of Evil,26744
The Stupids,16299
The Arrival,10547
The Man from Down Under,245268
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,935
Careful,55613
Vermont Is for Lovers,215107
A Month by the Lake,41007
Gold Diggers: The Secret of Bear Mountain,35645
Kim,110465
Carmen Miranda: Bananas Is My Business,255546
Ashes of Time,40751
The Jar,275096
Maya Lin: A Strong Clear Vision,85778
Stalingrad,11101
The Phantom,9826
Striptease,9879
The Last of the High Kings,63564
Heavy,22621
Jack,7095
I Shot Andy Warhol,26890
The Grass Harp,46732
Someone Else's America,124633
Life is Rosy,202425
Quartier Mozart,196940
Touki Bouki,77771
God's Gift,181083
Spirits of the Dead,41225
Babyfever,188589
Pharaoh's  Army,87190
Trainspotting,627
Til There Was You,32872
Independence Day,602
Stealing Beauty,14553
The Fan,9566
The Hunchback of Notre Dame,10545
The Cable Guy,9894
Kingpin,11543
Eraser,9268
The Gate of Heavenly Peace,52059
The Nutty Professor,9327
"I, the Worst of All",123763
An Unforgettable Summer,81949
A Hungarian Fairy Tale,42005
My Life and Times With Antonin Artaud,124306
Midnight Dancers,183955
Somebody to Love,44535
A Very Natural Thing,44495
The Old Lady Who Walked in the Sea,78285
Daylight,11228
The Frighteners,10779
Lone Star,26748
Harriet the Spy,38223
Phenomenon,9294
Walking and Talking,49963
She's the One,11363
A Time to Kill,1645
American Buffalo,31546
Rendezvous in Paris,77056
Alaska,36344
Fled,18550
Kazaam,11511
Magic Hunter,172198
Larger Than Life,34170
A Boy Called Hate,281085
Power 98,109478
Two Deaths,124645
A Very Brady Sequel,12606
Stefano Quantestorie,69895
Death in the Garden,35206
Hedd Wyn,151489
La Collectionneuse,4837
Kaspar Hauser,12632
Regular Guys,9098
Diebinnen,282919
The Convent,124614
The Adventures of Pinocchio,18975
Joe's Apartment,11962
The First Wives Club,2925
Stonewall,28628
Ransom,3595
High School High,9308
Phat Beach,92381
Foxfire,18555
Chain Reaction,12123
Matilda,10830
Emma,3573
The Crow: City of Angels,10546
House Arrest,18862
Eyes Without a Face,31417
Bordello of Blood,9431
Lotto Land,124619
The Story of Xinghua,297645
The Day the Sun Turned Cold,48144
Flirt,46986
The Big Squeeze,144982
The Spitfire Grill,47907
Escape from L.A.,10061
Cyclo,36266
Basquiat,549
Tin Cup,10478
Dingo,66634
The Ballad of Narayama,116690
Every Other Weekend,213917
Mille bolle blu,145925
Crows and Sparrows,100914
The Godfather,238
Maybe... Maybe Not,159
Police Story 3: Supercop,11134
Manny & Lo,88224
Wife,132641
Small Faces,42758
Bound,9303
Carpool,23945
Death in Brunswick,37820
Kansas City,22479
Gone Fishin',9054
Lover's Knot,241058
Vive L'Amour,11985
Shadow of Angels,10232
Killer: A Journal of Murder,59569
Nothing to Lose,410921
Project S,38955
Girls Town,110513
Bye-Bye,114089
The Relic,11015
The Island of Dr. Moreau,9306
First Kid,12559
The Trigger Effect,58770
Sweet Nothing,124851
Bogus,3587
Bulletproof,10723
Talk of Angels,56077
The Land Before Time III: The Time of the Great Giving,19004
1-900,101230
Baton Rouge,253632
Halloween: The Curse of Michael Myers,10987
Twelfth Night,44705
Mother Night,20318
Liebelei,43596
Venice,79782
Wild Reeds,26933
For Whom the Bell Tolls,27854
The Philadelphia Story,981
Singin' in the Rain,872
An American in Paris,2769
Funny Face,13320
Breakfast at Tiffany's,164
Vertigo,426
Rear Window,567
It Happened One Night,3078
Gaslight,13528
The Gay Divorcee,28288
North by Northwest,213
The Apartment,284
Some Like It Hot,239
Charade,4808
Casablanca,289
The Maltese Falcon,963
My Fair Lady,11113
Sabrina,6620
Roman Holiday,804
The Little Princess,26531
Meet Me in St. Louis,909
The Wizard of Oz,630
Gone with the Wind,770
My Favorite Year,31044
Sunset Boulevard,599
Citizen Kane,15
2001: A Space Odyssey,62
Golden Earrings,121357
All About Eve,705
The Women,22490
Rebecca,223
Foreign Correspondent,25670
Notorious,303
Spellbound,4174
An Affair to Remember,8356
To Catch a Thief,381
Father of the Bride,20758
The Band Wagon,29376
Ninotchka,1859
Love in the Afternoon,18299
Gigi,17281
The Reluctant Debutante,64382
The Adventures of Robin Hood,10907
The Mark of Zorro,32093
Laura,1939
The Ghost and Mrs. Muir,22292
Lost Horizon,3598
Top Hat,3080
To Be or Not to Be,198
My Man Godfrey,13562
Giant,1712
East of Eden,220
The Thin Man,3529
His Girl Friday,3085
Around the World in Eighty Days,2897
It's a Wonderful Life,1585
Mr. Smith Goes to Washington,3083
Bringing Up Baby,900
Penny Serenade,43795
The Scarlet Letter,85638
Lady of Burlesque,50001
Of Human Bondage,43905
Angel on My Shoulder,22688
Little Lord Fauntleroy,23114
They Made Me a Criminal,26378
The Inspector General,40206
Angel and the Badman,22356
The 39 Steps,260
A Walk in the Sun,43488
The Outlaw,22613
Night of the Living Dead,10331
The African Queen,488
Beat the Devil,22733
Cat on a Hot Tin Roof,261
The Last Time I Saw Paris,57575
Meet John Doe,32574
Algiers,22657
Something to Sing About,76464
A Farewell to Arms,22649
Moonlight Murder,176841
Nothing Personal,125587
"Yes, Madam",39448
Dangerous Ground,52855
Picnic,39940
Madagascar Skin,172868
The Pompatus of Love,85328
Small Wonders,124632
Fly Away Home,11076
Bliss,63945
Grace of My Heart,58985
Brother of Sleep,890
Maximum Risk,10861
Michael Collins,1770
The Rich Man's Wife,44465
Infinity,2033
Big Night,18203
Last Man Standing,9333
Caught,47260
Set It Off,9400
2 Days in the Valley,9401
Curdled,12241
L'associé,25739
Ed's Next Move,161806
Extreme Measures,11306
The Glimmer Man,9625
D3: The Mighty Ducks,10680
The Chamber,6346
The Apple Dumpling Gang,18660
"Davy Crockett, King of the Wild Frontier",35115
Escape to Witch Mountain,14821
The Love Bug,14136
Herbie Rides Again,10869
Old Yeller,22660
The Parent Trap,19186
Pollyanna,31102
Homeward Bound: The Incredible Journey,6878
The Shaggy Dog,15944
Swiss Family Robinson,18444
That Darn Cat!,20723
"20,000 Leagues Under the Sea",173
Cool Runnings,864
Angels in the Outfield,24795
Cinderella,11224
Winnie the Pooh and the Blustery Day,81310
The Three Caballeros,15947
The Sword in the Stone,9078
So Dear to My Heart,29682
Robin Hood: Prince of Thieves,8367
Mary Poppins,433
Dumbo,11360
Pete's Dragon,11114
Bedknobs and Broomsticks,12335
Alice in Wonderland,12092
The Fox and the Hound,10948
Freeway,11229
The Sound of Music,15121
Die Hard,562
The Lawnmower Man,10163
Unhook the Stars,48862
Synthetic Pleasures,117036
The Secret Agent,47199
Secrets & Lies,11159
That Thing You Do!,9591
To Gillian on Her 37th Birthday,30500
Surviving Picasso,41843
Love Is All There Is,55058
Beautiful Thing,10938
The Long Kiss Goodnight,11412
The Ghost and the Darkness,10586
Looking for Richard,42314
Trees Lounge,27845
The Proprietor,108365
Normal Life,23223
Get on the Bus,49471
Shadow Conspiracy,38153
Jude,25147
Everyone Says I Love You,9716
Bitter Sugar,43777
Romeo + Juliet,454
Swingers,10218
Sleepers,819
The Sunchaser,38191
Johns,56830
Aladdin and the King of Thieves,11238
The Woman in Question,27256
Shall We Dance,31530
A Damsel in Distress,66473
Crossfire,28120
"Murder, My Sweet",1834
Macao,26282
For the Moment,37218
Willy Wonka & the Chocolate Factory,252
The Sexual Life of the Belgians,116356
The Innocents,16372
Sleeper,11561
Bananas,11302
A Fish Called Wanda,623
Life of Brian,583
Victor/Victoria,12614
The Candidate,21711
The Great Race,11575
Bonnie and Clyde,475
The Old Man and the Sea,11331
Dial M for Murder,521
Madame Butterfly,21202
Dirty Dancing,88
Reservoir Dogs,500
Platoon,792
Weekend at Bernie's,8491
Basic Instinct,402
The Doors,10537
The Crying Game,11386
Glengarry Glen Ross,9504
Sophie's Choice,15764
E.T. the Extra-Terrestrial,601
The Search for One-eye Jimmy,67365
A Christmas Carol,25842
Days of Thunder,2119
Top Gun,744
American Strays,136311
Rebel Without a Cause,221
A Streetcar Named Desire,702
Children of the Corn IV: The Gathering,25750
The Leopard Son,17642
Charm's  Incidents,427043
Bird of Prey,146341
Microcosmos,9305
Palookaville,37616
The Associate,11112
The Funeral,21612
The Sleepover,141210
A Single Girl,102461
The Eighth Day,36998
North Star,200383
Drunks,116844
The People vs. Larry Flynt,1630
Glory Daze,26626
A Perfect Candidate,124837
On Golden Pond,11816
The Return of the Pink Panther,11843
Drop Dead Fred,10379
The Abyss,2756
The Fog,790
Escape from New York,1103
The Howling,11298
Jean de Florette,4480
Manon of the Spring,4481
Johnny 100 Pesos,49688
Private Benjamin,10765
Monty Python and the Holy Grail,762
Hustler White,44497
Dadetown,85588
Everything Relative,278621
Entertaining Angels - The Dorothy Day Story,99479
Three Lives and Only One Death,55049
The Line King: The Al Hirschfeld Story,124829
Snowriders,79306
Curtis's Charm,356054
When We Were Kings,10548
The Wrong Trousers,531
JLG/JLG: Self-Portrait in December,104931
The Return of Martin Guerre,4483
Faust,18919
He Walked by Night,31556
Raw Deal,26167
T-Men,26174
The Children Are Watching Us,61461
Pastoral Symphony,117500
Here Comes Cookie,218713
Love In Bloom,217802
Six of a Kind,127973
The Tin Drum,659
The Ruling Class,30892
Mina Tannenbaum,86369
2 or 3 Things I Know About Her,8074
The Bloody Child,124676
Dear God,38554
Bad Moon,49763
American Dream,41326
Best of the Best 3: No Turning Back,36555
Bob Roberts,10608
Cinema Paradiso,11216
"The Cook, the Thief, His Wife & Her Lover",7452
Dead Tired,64567
Delicatessen,892
The Double Life of Veronique,1600
Enchanted April,26561
Paths of Glory,975
The Grifters,18129
Hear My Song,54405
The Shooter,150823
The English Patient,409
Mediterraneo,38251
My Left Foot: The Story of Christy Brown,10161
"Sex, Lies, and Videotape",1412
Passion Fish,41768
Strictly Ballroom,10409
The Thin Blue Line,14285
Tie Me Up! Tie Me Down!,2469
Madonna: Truth or Dare,10174
Paris is Burning,31225
One Flew Over the Cuckoo's Nest,510
Up in Smoke,11455
The Empire Strikes Back,1891
The Princess Bride,2493
Raiders of the Lost Ark,85
Brazil,68
Aliens,679
"The Good, the Bad and the Ugly",429
Withnail & I,13446
12 Angry Men,389
Lawrence of Arabia,947
A Clockwork Orange,185
To Kill a Mockingbird,595
Apocalypse Now,28
Once Upon a Time in the West,335
Return of the Jedi,1892
Wings of Desire,144
The Third Man,1092
GoodFellas,769
Alien,348
Army of Darkness,766
The Big Blue,175
Ran,11645
The Killer,10835
Psycho,539
The Blues Brothers,525
The Godfather: Part II,240
Full Metal Jacket,600
A Grand Day Out,530
Henry V,10705
Amadeus,279
The Quiet Man,3109
Once Upon a Time in America,311
Raging Bull,1578
Annie Hall,703
The Right Stuff,9549
Stalker,1398
Das Boot,387
The Sting,9277
Harold and Maude,343
Trust,37291
The Seventh Seal,490
Local Hero,11235
The Terminator,218
Braindead,763
Glory,9665
Rosencrantz & Guildenstern Are Dead,18971
Manhattan,696
Miller's Crossing,379
Dead Poets Society,207
The Graduate,37247
Touch of Evil,1480
La Femme Nikita,9322
The Bridge on the River Kwai,826
8½,422
Chinatown,829
The Day the Earth Stood Still,828
The Treasure of the Sierra Madre,3090
Bad Taste,9964
Duck Soup,3063
Better Off Dead...,13667
The Shining,694
Stand by Me,235
M,832
Evil Dead II,765
The Great Escape,5925
The Deer Hunter,11778
Diva,4485
Groundhog Day,137
Unforgiven,33
The Manchurian Candidate,982
Pump up the Volume,8428
Arsenic and Old Lace,212
Back to the Future,105
Fried Green Tomatoes,1633
Patton,11202
Down by Law,1554
